source_id,title,source_url,year,source_kind,is_measured,native_log_y,multi_state_vth,public_fulltext,independence_group,duplicate_of,status,disposition_reason,evidence
luo-jsac-2016,Enabling Accurate and Practical Online Flash Channel Modeling for Modern MLC NAND Flash Memory,https://ghose.cs.illinois.edu/papers/16jsac_mlc.pdf,2016,paper,true,true,true,true,cmu-1xnm-mlc-jsac,,calibration,Eligible measured native-log multi-State VTH source,"Fig. 4/6: real-chip markers and model lines; probability-density y-axis 10^-6 to 10^0"
freudenberger-2023,Error correction error management and code-based cryptography for flash memories,https://edocs.tib.eu/files/e01fb24/1896013392.pdf,2023,technical-report,true,true,true,true,freudenberger-commercial-tlc,,calibration,Eligible measured native-log multi-State VTH source,"Fig. 3.2: commercial TLC measured histograms; logarithmic frequency y-axis 10^0 to 10^7; S1-S7 shown"
ibm-irps-2020,Open Block Characterization and Read Voltage Calibration of 3D QLC NAND Flash,https://web.archive.org/web/20240418014340id_/http://borecraft.com/files/Read_Voltage_Calibration_QLC.pdf,2020,paper,true,true,true,true,ibm-3d-qlc-irps2020,,calibration,Eligible measured native-log multi-State VTH source,"Fig. 8: caption identifies measured 3D QLC VTH distributions; 16 State peaks; number-of-cells y-axis 10^0 to 10^5"
cai-date-2013,Threshold Voltage Distribution in MLC NAND Flash Memory: Characterization Analysis and Modeling,https://users.ece.cmu.edu/~omutlu/pub/flash-memory-voltage-characterization_date13.pdf,2013,paper,true,false,true,true,cmu-2ynm-mlc-date,,stress-only,Measured multi-State distribution but native figure uses a linear y-axis,"Fig. 5 and Fig. 11 probability-density axes are linear"
cai-retention-2018,Experimental Characterization Optimization and Recovery of Data Retention Errors in MLC NAND Flash Memory,https://arxiv.org/pdf/1805.02819,2018,paper,true,false,true,true,cmu-2ynm-mlc-hpca,,stress-only,Measured multi-State retention distribution but native figure uses a linear y-axis,"Fig. 2 probability-density axis is 0 to 0.04"
cai-read-disturb-2018,Read Disturb Errors in MLC NAND Flash Memory,https://arxiv.org/pdf/1805.03283,2018,paper,true,false,true,true,cmu-2ynm-mlc-dsn,,stress-only,Measured multi-State read-disturb distribution but native figure uses a linear y-axis,"Fig. 2 PDF axis is linear with 10^-3 multiplier"
luo-sigmetrics-2018,Tolerating Early Retention Loss and Process Variation in 3D NAND Flash Memory,https://www.pdl.cmu.edu/PDL-FTP/NVM/18sigmetrics_3dflash.pdf,2018,paper,true,false,true,true,cmu-3d-mlc-sigmetrics,,stress-only,Real 3D NAND distribution figure is measured but its probability-density axis is linear,"Fig. 4 measured dots and fitted Gaussian lines; y-axis is linear"
liu-date-2019,Characterizing the Reliability and Threshold Voltage Shifting of 3D Charge Trap NAND Flash,https://past.date-conference.com/proceedings-archive/2019/pdf/0696.pdf,2019,paper,true,false,true,true,hust-3d-ct-tlc-date2019,,stress-only,Measured 3D TLC curves use a linear probability-density y-axis,"Fig. 7 and Fig. 8 show S1-S7 with y-axis 0 to 0.015"
gdut-2025,Multi-dimensional Noise Coupling Error Detection and Channel Modeling for 3D NAND Flash Memory,https://xbzrb.gdut.edu.cn/cn/article/pdf/preview/10.12052/gdutxb.250019.pdf,2025,paper,true,false,true,true,gdut-bics3-3d-tlc-2025,,stress-only,Actual commercial-chip VTH data are shown as linear-intensity heatmaps rather than native-log curves,"Methods name Kioxia BiCS3 TH58TFT1T23BA8H; Fig. 8 is a VTH heatmap"
zheng-jsac-2023,Spatio-Temporal Modeling for Flash Memory Channels Using Conditional Generative Nets,https://cmrr-star.ucsd.edu/static/pubs/Spatio-Temporal_Modeling_for_Flash_Memory_Channels_Using_Conditional_Generative_Nets.pdf,2023,paper,true,false,true,true,ucsd-1xnm-tlc-flashgen,,stress-only,Independent commercial 1X-nm TLC measurements use a linear conditional-PDF axis in the native panels,"Fig. 4: triangle markers are measured PL1-PL7 distributions at 4000/7000/10000 P/E; caption explicitly states that the plots are in linear scale"
wang-imw-2019,The Method of Predicting Retention Threshold Voltage Distribution for NAND Flash Memory Based on Back-Propagation Neural Network,https://ir.pku.edu.cn/handle/20.500.11897/544481,2019,paper,true,false,true,false,pku-hisilicon-3d-tlc-qlc-imw2019,,excluded,Abstract reports agreement with measurements but the repository has no full text for axis verification,"PKU record states There are no files associated with this item"
ibm-globecom-2014,Modelling of the threshold voltage distributions of sub-20nm NAND flash memory,https://research.ibm.com/publications/modelling-of-the-threshold-voltage-distributions-of-sub-20nm-nand-flash-memory,2014,paper,true,false,true,false,ibm-sub20nm-mlc-globecom2014,,excluded,Measured-data claim cannot be audited because public full text is unavailable,"IBM metadata page and OpenAlex record provide no open full-text figure"
